City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Huilong,CN,2021-02-05 17:36:51,31.8111,121.655,48.99,90,85,4.0
108,Ortakoy,TR,2021-02-05 17:36:51,38.7373,34.0387,41.0,70,0,6.91
109,Garmsar,IR,2021-02-05 17:36:51,35.2182,52.3409,58.24,55,100,7.63
110,Aloleng,PH,2021-02-05 17:36:51,16.1307,119.7824,78.17,74,17,6.93
111,Thompson,CA,2021-02-05 17:32:40,55.7435,-97.8558,-14.8,70,75,14.97
112,Okhotsk,RU,2021-02-05 17:36:51,59.3833,143.3,-1.05,86,98,9.24
113,Empalme,MX,2021-02-05 17:36:51,27.9667,-110.8167,73.0,34,1,8.05
114,Luderitz,NA,2021-02-05 17:36:51,-26.6481,15.1594,75.0,48,0,26.6
115,Port Blair,IN,2021-02-05 17:36:51,11.6667,92.75,78.66,79,9,8.05
116,Cordoba,AR,2021-02-05 17:36:52,-31.4135,-64.1811,84.0,53,0,10.36
117,Cintalapa,MX,2021-02-05 17:36:52,16.6951,-93.7272,83.52,41,1,10.76
118,Zlitan,LY,2021-02-05 17:36:52,32.4674,14.5687,70.21,29,17,10.92
119,Esperance,AU,2021-02-05 17:36:52,-33.8667,121.9,59.0,94,90,5.75
120,Saint-Georges,GD,2021-02-05 17:36:52,12.0564,-61.7485,82.4,65,75,26.46
121,Imeni Poliny Osipenko,RU,2021-02-05 17:36:52,52.4201,136.4853,-17.84,87,100,2.53
122,Siderno,IT,2021-02-05 17:36:52,38.2779,16.302,59.0,77,33,3.44
123,Elat,IL,2021-02-05 17:36:52,29.5581,34.9482,59.0,88,75,19.06
124,Gidam,IN,2021-02-05 17:36:53,18.9833,81.4,61.9,36,0,1.39
125,Mehamn,NO,2021-02-05 17:36:53,71.0357,27.8492,30.2,74,75,25.32
126,Kulhudhuffushi,MV,2021-02-05 17:36:53,6.6221,73.07,81.88,76,100,12.55
127,Ginda,IN,2021-02-05 17:36:53,30.6945,78.4932,33.93,71,5,7.11
128,Tasiilaq,GL,2021-02-05 17:32:25,65.6145,-37.6368,23.0,58,20,2.3
129,Kawambwa,ZM,2021-02-05 17:36:53,-9.7915,29.0791,67.1,94,89,2.01
130,Malanje,AO,2021-02-05 17:36:53,-9.5402,16.341,68.54,90,100,2.04
131,Columbus,US,2021-02-05 17:36:53,39.9612,-82.9988,30.99,59,40,20.71
132,Orcopampa,PE,2021-02-05 17:36:53,-15.2661,-72.3417,52.66,59,96,2.04
133,Grindavik,IS,2021-02-05 17:36:53,63.8424,-22.4338,37.4,81,75,23.02
134,Caravelas,BR,2021-02-05 17:36:54,-17.7125,-39.2481,86.32,65,80,14.34
135,Dikson,RU,2021-02-05 17:32:51,73.5069,80.5464,-32.67,83,4,10.96
136,Tirumullaivasal,IN,2021-02-05 17:36:54,11.2333,79.8333,74.61,80,0,11.39
137,Henties Bay,NA,2021-02-05 17:36:54,-22.116,14.2845,66.0,87,31,1.99
138,Hobart,AU,2021-02-05 17:36:11,-42.8794,147.3294,64.99,88,90,4.61
139,Tikapur,NP,2021-02-05 17:36:54,28.5,81.1333,55.8,82,72,7.14
140,Longyearbyen,SJ,2021-02-05 17:36:54,78.2186,15.6401,19.4,86,75,4.61
141,Hithadhoo,MV,2021-02-05 17:36:54,-0.6,73.0833,82.8,77,100,13.82
142,Demyansk,RU,2021-02-05 17:36:54,57.643,32.466,7.77,94,100,8.3
143,Champerico,GT,2021-02-05 17:36:55,14.3,-91.9167,86.0,62,20,4.61
144,San Patricio,US,2021-02-05 17:36:55,28.017,-97.5169,62.01,59,90,19.57
145,Mala,PE,2021-02-05 17:36:55,-12.6581,-76.6308,75.42,61,100,8.43
146,Namibe,AO,2021-02-05 17:36:55,-15.1961,12.1522,72.68,78,7,8.68
147,Lasa,IT,2021-02-05 17:36:55,46.6166,10.7002,42.01,80,0,3.42
148,Conde,BR,2021-02-05 17:36:55,-7.2597,-34.9075,87.8,55,20,11.5
