City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Upington,ZA,-28.4478,21.2561,100.4,13,20,9.22,few clouds
134,Vadso,NO,70.0744,29.7487,24.8,74,40,18.41,snow
135,Katsuura,JP,35.1333,140.3,48.99,87,20,11.5,few clouds
136,Torbay,CA,47.6666,-52.7314,37.99,80,90,9.22,overcast clouds
137,Chinhoyi,ZW,-17.3667,30.2,73.96,85,92,4.74,light rain
138,Pisco,PE,-13.7,-76.2167,73.0,83,75,9.22,broken clouds
139,Stornoway,GB,58.2093,-6.3865,39.2,70,75,20.71,broken clouds
140,Westport,US,41.1415,-73.3579,39.99,60,1,10.36,clear sky
141,Bilma,NE,18.6853,12.9164,81.05,15,19,9.31,few clouds
142,Erenhot,CN,43.6475,111.9767,2.89,84,0,2.21,clear sky
143,Miri,MY,4.4148,114.0089,78.8,94,40,3.44,scattered clouds
144,Chapais,CA,49.7834,-74.8492,17.6,73,90,14.97,light snow
145,Lasa,IT,46.6166,10.7002,45.0,93,20,10.36,few clouds
146,Tandil,AR,-37.3217,-59.1332,90.0,33,0,8.01,clear sky
147,Lata,PT,40.1629,-8.3327,59.0,76,89,4.0,overcast clouds
148,East London,ZA,-33.0153,27.9116,77.0,83,75,11.5,broken clouds
149,Waipawa,NZ,-41.4122,175.5153,53.6,87,100,3.44,overcast clouds
150,Ribeira Grande,PT,38.5167,-28.7,60.8,88,75,20.71,broken clouds
151,Saint George,US,37.1041,-113.5841,35.6,55,1,4.61,clear sky
152,Narrabri,AU,-30.3167,149.7833,71.6,88,75,4.9,broken clouds
153,Charters Towers,AU,-20.1,146.2667,75.4,86,97,7.85,overcast clouds
154,Agadez,NE,19.75,10.25,79.86,14,94,13.09,overcast clouds
155,Chokurdakh,RU,70.6333,147.9167,-16.37,87,99,3.94,overcast clouds
156,Obera,AR,-27.4871,-55.1199,78.67,40,0,5.86,clear sky
157,Koumac,NC,-20.5667,164.2833,76.69,75,1,1.21,clear sky
158,Iqaluit,CA,63.7506,-68.5145,21.2,86,75,14.97,broken clouds
159,Victoria,HK,22.2855,114.1577,68.0,69,0,4.54,clear sky
160,Karratha,AU,-20.7377,116.8463,78.82,76,5,10.65,clear sky
161,Vao,NC,-22.6667,167.4833,77.31,87,1,8.12,clear sky
162,Jiayuguan,CN,39.8167,98.3,28.06,69,16,1.1,few clouds
163,Cherskiy,RU,68.75,161.3,-9.98,81,0,7.72,clear sky
164,New Norfolk,AU,-42.7826,147.0587,57.2,88,90,5.75,overcast clouds
165,Cidreira,BR,-30.1811,-50.2056,75.22,63,57,11.12,broken clouds
166,Anapskaya,RU,44.89,37.38,32.0,86,90,8.95,light rain
167,Saskylakh,RU,71.9167,114.0833,-37.82,80,69,4.61,broken clouds
168,Chiredzi,ZW,-21.05,31.6667,82.78,69,74,7.16,broken clouds
169,San Quintin,MX,30.4833,-115.95,58.06,74,0,2.64,clear sky
170,Luchegorsk,RU,46.4764,134.2569,-14.24,88,2,2.06,clear sky
171,Aksarka,RU,66.5606,67.7975,-33.66,81,72,17.4,broken clouds
172,Miandrivazo,MG,-19.5167,45.4667,80.98,80,100,3.78,moderate rain
173,Albany,US,42.6001,-73.9662,35.01,37,76,4.0,light snow
174,Mount Gambier,AU,-37.8333,140.7667,55.4,100,90,10.36,overcast clouds
175,Kharp,RU,66.8014,65.8081,-27.98,79,27,1.39,scattered clouds
176,Astaneh-Ye Ashrafiyeh,IR,37.2596,49.9444,51.8,87,90,4.61,overcast clouds
177,Riyadh,SA,24.6877,46.7219,68.0,45,75,5.75,broken clouds
178,Sumiswald,CH,47.0275,7.7453,50.0,81,90,1.14,overcast clouds
179,Bethel,US,41.3712,-73.414,39.0,44,1,8.05,clear sky
180,Daru,PG,-9.0763,143.2092,80.06,79,96,10.11,overcast clouds
181,Vanavara,RU,60.34,102.2797,-0.96,93,100,4.45,overcast clouds
182,Priiskovyy,RU,51.9333,116.6333,-13.14,85,1,2.91,clear sky
183,Linxia,CN,35.6003,103.2064,30.7,70,67,0.81,broken clouds
184,Bluff,NZ,-46.6,168.3333,54.27,86,9,1.45,clear sky
185,Luzhou,CN,28.8724,105.4405,58.77,64,97,2.19,overcast clouds
186,Port Hedland,AU,-20.3167,118.5667,80.6,74,75,9.22,broken clouds
187,Guhagar,IN,17.4842,73.1929,75.27,56,0,8.95,clear sky
188,Rio Branco,BR,-9.9747,-67.81,78.8,94,75,3.44,mist
189,San Patricio,US,28.017,-97.5169,62.6,88,90,8.05,mist
190,Meulaboh,ID,4.1363,96.1285,80.01,80,54,3.51,broken clouds
191,Chulman,RU,56.8479,124.9104,-20.43,85,100,2.98,overcast clouds
192,Iracoubo,GF,5.4802,-53.2011,80.1,81,91,14.81,overcast clouds
193,Marzuq,YE,14.4,46.4667,62.28,67,0,8.41,clear sky
194,Hamilton,US,39.1834,-84.5333,28.0,54,1,3.44,clear sky
195,Saldanha,ZA,-33.0117,17.9442,77.0,61,20,24.16,few clouds
196,Vilyuysk,RU,63.7553,121.6247,-35.82,82,2,4.05,clear sky
197,Bathsheba,BB,13.2167,-59.5167,84.2,54,40,20.71,scattered clouds
198,Kruisfontein,ZA,-34.0033,24.7314,77.0,73,0,5.01,clear sky
199,Chegdomyn,RU,51.1167,133.0167,-14.66,88,100,0.29,overcast clouds
200,Isangel,VU,-19.55,169.2667,77.76,79,0,2.98,clear sky
201,Aquiraz,BR,-3.9014,-38.3911,87.8,58,20,16.11,few clouds
202,Kodiak,US,57.79,-152.4072,23.0,74,1,4.61,clear sky
203,Puerto Carreno,CO,6.189,-67.4859,93.61,39,99,11.92,overcast clouds
204,Flinders,AU,-34.5833,150.8552,66.0,87,0,1.01,clear sky
205,Sur,OM,22.5667,59.5289,65.34,59,0,7.09,clear sky
206,Sitka,US,57.0531,-135.33,35.6,93,90,4.61,overcast clouds
207,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,85.82,61,36,13.2,scattered clouds
208,Kloulklubed,PW,7.0419,134.2556,78.8,94,75,6.91,broken clouds
209,Zaria,NG,11.1113,7.7227,88.99,12,65,10.89,broken clouds
210,Koygorodok,RU,60.445,50.9968,-5.57,90,100,10.56,light snow
211,Roald,NO,62.5833,6.1333,28.4,59,0,11.5,clear sky
212,Reyes,BO,-14.3167,-67.3833,89.6,66,75,5.23,broken clouds
213,Georgetown,MY,5.4112,100.3354,86.0,70,20,3.44,few clouds
214,Bakaly,RU,55.1789,53.8028,2.46,91,100,18.59,overcast clouds
215,Narsaq,GL,60.9167,-46.05,32.0,29,1,16.11,clear sky
216,Paamiut,GL,61.994,-49.6678,23.0,80,0,7.27,clear sky
217,Nikolskoye,RU,59.7035,30.7861,14.0,85,90,13.42,light snow
218,Inyonga,TZ,-6.7167,32.0667,71.17,89,65,2.46,moderate rain
219,Atuona,PF,-9.8,-139.0333,80.29,76,60,22.68,broken clouds
220,Beringovskiy,RU,63.05,179.3167,-9.65,88,1,6.76,clear sky
221,Lompoc,US,34.6391,-120.4579,45.0,93,1,3.44,clear sky
