City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
156,Obera,AR,78.67,clear sky,-27.4871,-55.1199,CABAÑAS DORALIA
157,Koumac,NC,76.69,clear sky,-20.5667,164.2833,Le Monitel
160,Karratha,AU,78.82,clear sky,-20.7377,116.8463,ibis Styles Karratha
161,Vao,NC,77.31,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
165,Cidreira,BR,75.22,broken clouds,-30.1811,-50.2056,Hotel Castelo
168,Chiredzi,ZW,82.78,broken clouds,-21.05,31.6667,The Nesbitt Arms
172,Miandrivazo,MG,80.98,moderate rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
180,Daru,PG,80.06,overcast clouds,-9.0763,143.2092,Daru Lodge
186,Port Hedland,AU,80.6,broken clouds,-20.3167,118.5667,The Esplanade Hotel
187,Guhagar,IN,75.27,clear sky,17.4842,73.1929,Hotel Seawinds
188,Rio Branco,BR,78.8,mist,-9.9747,-67.81,João Paulo Hotel
190,Meulaboh,ID,80.01,broken clouds,4.1363,96.1285,Kost Pria
192,Iracoubo,GF,80.1,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
195,Saldanha,ZA,77.0,few clouds,-33.0117,17.9442,Blue Bay Lodge
197,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
198,Kruisfontein,ZA,77.0,clear sky,-34.0033,24.7314,Oyster Bay House Rental
200,Isangel,VU,77.76,clear sky,-19.55,169.2667,Volcano Sea View Tree House
201,Aquiraz,BR,87.8,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
203,Puerto Carreno,CO,93.61,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
207,Sao Jose Da Coroa Grande,BR,85.82,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
208,Kloulklubed,PW,78.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
209,Zaria,NG,88.99,broken clouds,11.1113,7.7227,A.B.U Hotels
213,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
218,Inyonga,TZ,71.17,moderate rain,-6.7167,32.0667,Eden Rock Lodge
219,Atuona,PF,80.29,broken clouds,-9.8,-139.0333,Villa Enata
222,Mogadishu,SO,77.56,clear sky,2.0371,45.3438,Hotel Juba
226,Vila Velha,BR,87.8,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
231,Cap Malheureux,MU,80.01,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
233,Emerald,AU,84.2,overcast clouds,-23.5333,148.1667,The Irish Village
